nombre,provincia,valor,year
bienes_y_servicios_no_personales,Chaco,176756463.0,2011
erogacion_de_capital,Chaco,258770928.003827,2011
personal,Chaco,2650767518.26,2011
transferencias_educacion_privada,Chaco,161346967.1,2011
transferencias_otras,Chaco,97229597.67,2011
bienes_y_servicios_no_personales,Chaco,224371697.76,2012
erogacion_de_capital,Chaco,152866784.328148,2012
personal,Chaco,3427512946.3,2012
transferencias_educacion_privada,Chaco,247709657.06,2012
transferencias_otras,Chaco,101111696.37,2012
bienes_y_servicios_no_personales,Chaco,257379367.03,2013
erogacion_de_capital,Chaco,321089399.76,2013
personal,Chaco,4182888088.56,2013
transferencias_educacion_privada,Chaco,332647161.11,2013
transferencias_otras,Chaco,143160315.94,2013
bienes_y_servicios_no_personales,Chaco,310400304.26,2014
erogacion_de_capital,Chaco,412283823.102,2014
personal,Chaco,5603791668.0292,2014
transferencias_educacion_privada,Chaco,461775156.6608,2014
transferencias_otras,Chaco,183876863.18,2014
bienes_y_servicios_no_personales,Chaco,402731132.97,2015
erogacion_de_capital,Chaco,563445976.132698,2015
personal,Chaco,7561273680.75,2015
transferencias_educacion_privada,Chaco,637471266.79,2015
transferencias_otras,Chaco,219745112.66,2015
bienes_y_servicios_no_personales,Chaco,307519219.97,2016
erogacion_de_capital,Chaco,359239304.00873,2016
personal,Chaco,11506182065.11,2016
transferencias_educacion_privada,Chaco,1029350251.21,2016
transferencias_otras,Chaco,288632143.34,2016
bienes_y_servicios_no_personales,Misiones,47188538.2,2011
erogacion_de_capital,Misiones,289419899.72898,2011
personal,Misiones,1755570062.26,2011
transferencias_educacion_privada,Misiones,343600943.8,2011
transferencias_otras,Misiones,66821319.73,2011
bienes_y_servicios_no_personales,Misiones,71864432.84,2012
erogacion_de_capital,Misiones,175720893.306667,2012
personal,Misiones,2336323130.13,2012
transferencias_educacion_privada,Misiones,490567481.95,2012
transferencias_otras,Misiones,83207297.85,2012
bienes_y_servicios_no_personales,Misiones,123971735.06,2013
erogacion_de_capital,Misiones,342117351.11,2013
personal,Misiones,3053943226.6,2013
transferencias_educacion_privada,Misiones,637428279.99,2013
transferencias_otras,Misiones,96120585.62,2013
bienes_y_servicios_no_personales,Misiones,122463440.939,2014
erogacion_de_capital,Misiones,377555338.93,2014
personal,Misiones,4249579340.99,2014
transferencias_educacion_privada,Misiones,914819922.06,2014
transferencias_otras,Misiones,119956909.53,2014
bienes_y_servicios_no_personales,Misiones,167430217.25,2015
erogacion_de_capital,Misiones,428396576.464921,2015
personal,Misiones,6126981338.59,2015
transferencias_educacion_privada,Misiones,1364915786.79,2015
transferencias_otras,Misiones,186799293.24,2015
bienes_y_servicios_no_personales,Misiones,101072314.17,2016
erogacion_de_capital,Misiones,358597996.440476,2016
personal,Misiones,8698970625.49,2016
transferencias_educacion_privada,Misiones,1926410008.44,2016
transferencias_otras,Misiones,240869651.24,2016
bienes_y_servicios_no_personales,Santa Cruz,142719678.06,2011
erogacion_de_capital,Santa Cruz,77893427.9946225,2011
personal,Santa Cruz,1304236563.65,2011
transferencias_educacion_privada,Santa Cruz,177295421.65,2011
transferencias_otras,Santa Cruz,19005545.77,2011
bienes_y_servicios_no_personales,Santa Cruz,123967702.42,2012
erogacion_de_capital,Santa Cruz,67687871.3088889,2012
personal,Santa Cruz,1551756180.44,2012
transferencias_educacion_privada,Santa Cruz,209511033.29,2012
transferencias_otras,Santa Cruz,21958321.89,2012
bienes_y_servicios_no_personales,Santa Cruz,149161437.64,2013
erogacion_de_capital,Santa Cruz,98276464.095,2013
personal,Santa Cruz,2052824693.56,2013
transferencias_educacion_privada,Santa Cruz,253317369.53,2013
transferencias_otras,Santa Cruz,27445830.45,2013
bienes_y_servicios_no_personales,Santa Cruz,185878693.64,2014
erogacion_de_capital,Santa Cruz,187389815.305,2014
personal,Santa Cruz,3677451712.66,2014
transferencias_educacion_privada,Santa Cruz,421610234.92,2014
transferencias_otras,Santa Cruz,53400474.68,2014
bienes_y_servicios_no_personales,Santa Cruz,248727229.24,2015
erogacion_de_capital,Santa Cruz,172427890.983492,2015
personal,Santa Cruz,4951342052.13,2015
transferencias_educacion_privada,Santa Cruz,571197984.23,2015
transferencias_otras,Santa Cruz,70162252.52,2015
bienes_y_servicios_no_personales,Santa Cruz,226416792.07,2016
erogacion_de_capital,Santa Cruz,92364398.751746,2016
personal,Santa Cruz,6420022459.63,2016
transferencias_educacion_privada,Santa Cruz,742469549.4,2016
transferencias_otras,Santa Cruz,105978631.31,2016
bienes_y_servicios_no_personales,Mendoza,147072079.4,2011
erogacion_de_capital,Mendoza,334649618.066684,2011
personal,Mendoza,3147525950.43,2011
transferencias_educacion_privada,Mendoza,374071456.17,2011
transferencias_otras,Mendoza,72310070.05,2011
bienes_y_servicios_no_personales,Mendoza,165399787.91,2012
erogacion_de_capital,Mendoza,249933479.97963,2012
personal,Mendoza,4106696419.2,2012
transferencias_educacion_privada,Mendoza,486289174.09,2012
transferencias_otras,Mendoza,70117981.69,2012
bienes_y_servicios_no_personales,Mendoza,209892942.38,2013
erogacion_de_capital,Mendoza,286047907.315,2013
personal,Mendoza,5448983975.13,2013
transferencias_educacion_privada,Mendoza,641532448.0,2013
transferencias_otras,Mendoza,88723000.12,2013
bienes_y_servicios_no_personales,Mendoza,320669380.32,2014
erogacion_de_capital,Mendoza,259019601.235,2014
personal,Mendoza,7065791167.73,2014
transferencias_educacion_privada,Mendoza,864994698.9,2014
transferencias_otras,Mendoza,117239143.22,2014
bienes_y_servicios_no_personales,Mendoza,393806504.77,2015
erogacion_de_capital,Mendoza,414100738.540952,2015
personal,Mendoza,10348911410.33,2015
transferencias_educacion_privada,Mendoza,1186080499.59,2015
transferencias_otras,Mendoza,131137332.5,2015
