nombre,provincia,valor,year
inicial+primaria,Buenos Aires,9901979445.0,2011
privada,Buenos Aires,4088816402.0,2011
secundaria,Buenos Aires,12062368629.0,2011
sin_discriminar,Buenos Aires,4866835425.0,2011
snu,Buenos Aires,927565827.0,2011
inicial+primaria,Buenos Aires,12636186951.0,2012
privada,Buenos Aires,4925455963.0,2012
secundaria,Buenos Aires,13357975646.0,2012
sin_discriminar,Buenos Aires,5900202453.0,2012
snu,Buenos Aires,1324361906.0,2012
inicial+primaria,Buenos Aires,15486607968.0,2013
privada,Buenos Aires,5695902123.0,2013
secundaria,Buenos Aires,18880236512.0,2013
sin_discriminar,Buenos Aires,6364232732.0,2013
snu,Buenos Aires,1735530428.0,2013
inicial+primaria,Buenos Aires,19548647267.0,2014
privada,Buenos Aires,7542022525.0,2014
secundaria,Buenos Aires,21911174333.0,2014
sin_discriminar,Buenos Aires,9938389323.0,2014
snu,Buenos Aires,2446066367.0,2014
inicial+primaria,Buenos Aires,31151909522.0,2015
privada,Buenos Aires,10775413376.0,2015
secundaria,Buenos Aires,29966904265.0,2015
sin_discriminar,Buenos Aires,14579009370.0,2015
snu,Buenos Aires,4413118787.0,2015
inicial+primaria,Buenos Aires,40563029196.0,2016
privada,Buenos Aires,14423944392.0,2016
secundaria,Buenos Aires,37968909768.0,2016
sin_discriminar,Buenos Aires,17744235281.0,2016
snu,Buenos Aires,5107257309.0,2016
inicial+primaria,Catamarca,659952451.0,2011
privada,Catamarca,106443992.0,2011
secundaria,Catamarca,311773217.0,2011
sin_discriminar,Catamarca,162420708.0,2011
snu,Catamarca,75719709.0,2011
inicial+primaria,Catamarca,765849422.0,2012
privada,Catamarca,155215947.0,2012
secundaria,Catamarca,423319074.0,2012
sin_discriminar,Catamarca,125345979.0,2012
snu,Catamarca,143216176.0,2012
inicial+primaria,Catamarca,893604810.0,2013
privada,Catamarca,187672104.0,2013
secundaria,Catamarca,697536202.0,2013
sin_discriminar,Catamarca,136757799.0,2013
snu,Catamarca,140875227.0,2013
inicial+primaria,Catamarca,1115054934.0,2014
privada,Catamarca,247471477.0,2014
secundaria,Catamarca,938768287.0,2014
sin_discriminar,Catamarca,228767787.0,2014
snu,Catamarca,172249839.0,2014
inicial+primaria,Catamarca,1565843244.0,2015
privada,Catamarca,347879448.0,2015
secundaria,Catamarca,1274943312.0,2015
sin_discriminar,Catamarca,384562185.0,2015
snu,Catamarca,273187463.0,2015
inicial+primaria,Catamarca,2130927341.0,2016
privada,Catamarca,498989306.0,2016
secundaria,Catamarca,1719851162.0,2016
sin_discriminar,Catamarca,529817527.0,2016
snu,Catamarca,387059758.0,2016
inicial+primaria,Chaco,1507608915.0,2011
privada,Chaco,161346967.0,2011
secundaria,Chaco,959227664.0,2011
sin_discriminar,Chaco,602619788.0,2011
snu,Chaco,114068140.0,2011
inicial+primaria,Chaco,1784047991.0,2012
privada,Chaco,247709657.0,2012
secundaria,Chaco,1292865589.0,2012
sin_discriminar,Chaco,636939675.0,2012
snu,Chaco,192009870.0,2012
inicial+primaria,Chaco,1972227852.0,2013
privada,Chaco,332647161.0,2013
secundaria,Chaco,1689649712.0,2013
sin_discriminar,Chaco,1016046294.0,2013
snu,Chaco,226593313.0,2013
inicial+primaria,Chaco,3041566638.0,2014
privada,Chaco,461775157.0,2014
secundaria,Chaco,2338842403.0,2014
sin_discriminar,Chaco,799405262.0,2014
snu,Chaco,330538356.0,2014
inicial+primaria,Chaco,3782101534.0,2015
privada,Chaco,637471267.0,2015
secundaria,Chaco,3064549766.0,2015
sin_discriminar,Chaco,1423798955.0,2015
snu,Chaco,476745647.0,2015
inicial+primaria,Chaco,5669478141.0,2016
privada,Chaco,1029350251.0,2016
secundaria,Chaco,4261372042.0,2016
sin_discriminar,Chaco,1811722030.0,2016
snu,Chaco,719000519.0,2016
inicial+primaria,Chubut,704255548.0,2011
privada,Chubut,61523763.0,2011
secundaria,Chubut,560024400.0,2011
sin_discriminar,Chubut,523072586.0,2011
snu,Chubut,92091562.0,2011
inicial+primaria,Chubut,1033769809.0,2012
privada,Chubut,93746079.0,2012
secundaria,Chubut,621778497.0,2012
sin_discriminar,Chubut,549263649.0,2012
snu,Chubut,121588079.0,2012
inicial+primaria,Chubut,1269035619.0,2013
privada,Chubut,139909536.0,2013
secundaria,Chubut,963664176.0,2013
sin_discriminar,Chubut,649980673.0,2013
snu,Chubut,174900452.0,2013
inicial+primaria,Chubut,1897268229.0,2014
privada,Chubut,202977606.0,2014
secundaria,Chubut,1462130661.0,2014
sin_discriminar,Chubut,859584258.0,2014
snu,Chubut,288872857.0,2014
inicial+primaria,Chubut,2841988607.0,2015
privada,Chubut,275113652.0,2015
secundaria,Chubut,1919081349.0,2015
sin_discriminar,Chubut,972073882.0,2015
snu,Chubut,419293287.0,2015
inicial+primaria,Chubut,3922367978.0,2016
privada,Chubut,346086722.0,2016
secundaria,Chubut,2646603456.0,2016
sin_discriminar,Chubut,1190250245.0,2016
snu,Chubut,547930436.0,2016
inicial+primaria,Córdoba,2179977396.0,2011
privada,Córdoba,1488513201.0,2011
secundaria,Córdoba,2177886386.0,2011
sin_discriminar,Córdoba,467166082.0,2011
snu,Córdoba,412816542.0,2011
inicial+primaria,Córdoba,2809526876.0,2012
privada,Córdoba,1874409916.0,2012
secundaria,Córdoba,2782539430.0,2012
sin_discriminar,Córdoba,563163919.0,2012
snu,Córdoba,476330623.0,2012
inicial+primaria,Córdoba,3596977867.0,2013
privada,Córdoba,2397607496.0,2013
secundaria,Córdoba,3895438416.0,2013
sin_discriminar,Córdoba,641001387.0,2013
snu,Córdoba,622456954.0,2013
inicial+primaria,Córdoba,5501976916.0,2014
privada,Córdoba,3346149175.0,2014
secundaria,Córdoba,4492512997.0,2014
sin_discriminar,Córdoba,1010448836.0,2014
snu,Córdoba,773412538.0,2014
inicial+primaria,Córdoba,7542412613.0,2015
privada,Córdoba,4423229221.0,2015
secundaria,Córdoba,6202745052.0,2015
sin_discriminar,Córdoba,1070805653.0,2015
snu,Córdoba,1111817375.0,2015
inicial+primaria,Córdoba,9683129447.0,2016
privada,Córdoba,5898537812.0,2016
secundaria,Córdoba,8609747172.0,2016
sin_discriminar,Córdoba,1292969765.0,2016
snu,Córdoba,1449229085.0,2016
inicial+primaria,Corrientes,836888718.0,2011
privada,Corrientes,224272255.0,2011
secundaria,Corrientes,1012551406.0,2011
sin_discriminar,Corrientes,194567901.0,2011
snu,Corrientes,175603783.0,2011
inicial+primaria,Corrientes,1071181603.0,2012
privada,Corrientes,291973778.0,2012
secundaria,Corrientes,1250246212.0,2012
sin_discriminar,Corrientes,138513039.0,2012
snu,Corrientes,209873209.0,2012
inicial+primaria,Corrientes,1338328765.0,2013
privada,Corrientes,365304899.0,2013
secundaria,Corrientes,1626178630.0,2013
sin_discriminar,Corrientes,245316898.0,2013
snu,Corrientes,256305593.0,2013
inicial+primaria,Corrientes,1802362615.0,2014
privada,Corrientes,492869790.0,2014
secundaria,Corrientes,2033874309.0,2014
sin_discriminar,Corrientes,301252941.0,2014
snu,Corrientes,340658444.0,2014
inicial+primaria,Corrientes,2409018798.0,2015
privada,Corrientes,639829605.0,2015
secundaria,Corrientes,2562338843.0,2015
sin_discriminar,Corrientes,539838631.0,2015
snu,Corrientes,441343210.0,2015
inicial+primaria,Corrientes,3211147721.0,2016
privada,Corrientes,880704857.0,2016
secundaria,Corrientes,3971172852.0,2016
sin_discriminar,Corrientes,652413556.0,2016
snu,Corrientes,677870175.0,2016
inicial+primaria,Entre Ríos,1371308348.0,2011
privada,Entre Ríos,478898566.0,2011
secundaria,Entre Ríos,1213993389.0,2011
sin_discriminar,Entre Ríos,140756275.0,2011
snu,Entre Ríos,90366235.0,2011
inicial+primaria,Entre Ríos,1669160045.0,2012
privada,Entre Ríos,574221206.0,2012
secundaria,Entre Ríos,1398936036.0,2012
sin_discriminar,Entre Ríos,134289472.0,2012
snu,Entre Ríos,115104281.0,2012
inicial+primaria,Entre Ríos,2040923079.0,2013
privada,Entre Ríos,866943208.0,2013
secundaria,Entre Ríos,1935649008.0,2013
sin_discriminar,Entre Ríos,237605152.0,2013
snu,Entre Ríos,177187901.0,2013
inicial+primaria,Entre Ríos,3016493227.0,2014
privada,Entre Ríos,1131279836.0,2014
secundaria,Entre Ríos,2413105212.0,2014
sin_discriminar,Entre Ríos,317965280.0,2014
snu,Entre Ríos,238454413.0,2014
inicial+primaria,Entre Ríos,4121750093.0,2015
privada,Entre Ríos,1425894193.0,2015
secundaria,Entre Ríos,3501739190.0,2015
sin_discriminar,Entre Ríos,489937850.0,2015
snu,Entre Ríos,306750853.0,2015
inicial+primaria,Entre Ríos,5542083559.0,2016
privada,Entre Ríos,1973003234.0,2016
secundaria,Entre Ríos,4753591243.0,2016
sin_discriminar,Entre Ríos,431215267.0,2016
snu,Entre Ríos,409247312.0,2016
inicial+primaria,Formosa,699160298.0,2011
privada,Formosa,47370986.0,2011
secundaria,Formosa,604146108.0,2011
sin_discriminar,Formosa,251895781.0,2011
snu,Formosa,99265566.0,2011
inicial+primaria,Formosa,988703162.0,2012
privada,Formosa,49868979.0,2012
secundaria,Formosa,736791118.0,2012
sin_discriminar,Formosa,103434847.0,2012
snu,Formosa,174254824.0,2012
inicial+primaria,Formosa,1191593714.0,2013
privada,Formosa,67094104.0,2013
secundaria,Formosa,1012932773.0,2013
sin_discriminar,Formosa,80700137.0,2013
snu,Formosa,224685855.0,2013
inicial+primaria,Formosa,1571910896.0,2014
privada,Formosa,89851783.0,2014
secundaria,Formosa,1280267629.0,2014
sin_discriminar,Formosa,162339232.0,2014
snu,Formosa,322227764.0,2014
inicial+primaria,Formosa,2284083097.0,2015
privada,Formosa,123797497.0,2015
secundaria,Formosa,1694215250.0,2015
sin_discriminar,Formosa,311817465.0,2015
snu,Formosa,428532571.0,2015
inicial+primaria,Formosa,3035031202.0,2016
privada,Formosa,185717716.0,2016
secundaria,Formosa,2236338249.0,2016
sin_discriminar,Formosa,322692609.0,2016
snu,Formosa,482704858.0,2016
inicial+primaria,Jujuy,916326717.0,2011
privada,Jujuy,153891970.0,2011
secundaria,Jujuy,749409481.0,2011
sin_discriminar,Jujuy,119154420.0,2011
snu,Jujuy,71080941.0,2011
inicial+primaria,Jujuy,1050539079.0,2012
privada,Jujuy,198080410.0,2012
secundaria,Jujuy,872039197.0,2012
sin_discriminar,Jujuy,255678413.0,2012
snu,Jujuy,89545248.0,2012
inicial+primaria,Jujuy,1364692021.0,2013
privada,Jujuy,268560000.0,2013
secundaria,Jujuy,1178544947.0,2013
sin_discriminar,Jujuy,325646893.0,2013
snu,Jujuy,116804745.0,2013
inicial+primaria,Jujuy,1828204174.0,2014
privada,Jujuy,254333000.0,2014
secundaria,Jujuy,1516678427.0,2014
sin_discriminar,Jujuy,364190482.0,2014
snu,Jujuy,155889759.0,2014
inicial+primaria,Jujuy,2708151105.0,2015
privada,Jujuy,361549991.0,2015
secundaria,Jujuy,2231778276.0,2015
sin_discriminar,Jujuy,482053797.0,2015
snu,Jujuy,235265051.0,2015
inicial+primaria,Jujuy,3410228027.0,2016
privada,Jujuy,408980000.0,2016
secundaria,Jujuy,2874156059.0,2016
sin_discriminar,Jujuy,486344660.0,2016
snu,Jujuy,278099303.0,2016
inicial+primaria,La Pampa,698505174.0,2011
privada,La Pampa,121056621.0,2011
secundaria,La Pampa,286109398.0,2011
sin_discriminar,La Pampa,148020727.0,2011
snu,La Pampa,41499236.0,2011
inicial+primaria,La Pampa,860611503.0,2012
privada,La Pampa,159611209.0,2012
secundaria,La Pampa,461549304.0,2012
sin_discriminar,La Pampa,185822548.0,2012
snu,La Pampa,64008189.0,2012
